x_,y_,t_,day
1785466.3462239061,2409221.267709444,2011-02-27T21:40:52Z,day
1785474.850519171,2409212.100431371,2011-02-27T21:50:50Z,day
1785458.2817821302,2409244.9877247843,2011-02-27T22:00:22Z,day
1785481.5290557924,2409205.6236083414,2011-02-27T22:10:46Z,day
1785469.5517815412,2409218.433983331,2011-02-27T22:20:59Z,day
1785388.509039784,2409320.4055810617,2011-02-27T22:30:40Z,day
1785492.4951148804,2409187.4967011632,2011-02-27T22:41:12Z,day
1784125.659301864,2408062.959741462,2011-02-28T11:40:46Z,day
1784118.396999469,2408053.5077536697,2011-02-28T12:51:06Z,day
1784119.6412191137,2408042.2722671987,2011-02-28T13:01:16Z,day
1784127.282553626,2408038.7445730045,2011-02-28T13:11:22Z,day
1784212.6129944078,2408051.64864814,2011-02-28T13:21:37Z,day
1784059.8729609419,2408031.8381951046,2011-02-28T13:30:40Z,day
1784150.6630421157,2408058.2334369593,2011-02-28T13:40:32Z,day
1784166.1684098062,2408073.1437921044,2011-02-28T13:51:04Z,day
1784089.9269523367,2408044.514576338,2011-02-28T14:11:48Z,day
1783837.2370770727,2409143.6675685653,2011-03-01T11:41:05Z,day
1783834.7156298882,2409096.9360925467,2011-03-01T11:50:53Z,day
1783842.3639050536,2409098.589614944,2011-03-01T12:20:52Z,day
1783866.2848710837,2409086.1874776203,2011-03-01T12:30:49Z,day
1783839.6268572682,2409119.3589840797,2011-03-01T12:40:53Z,day
1783859.597764186,2409104.68761437,2011-03-01T13:00:57Z,day
1783836.4035404583,2409127.380017363,2011-03-01T13:51:18Z,day
1783825.500687946,2409133.8090194557,2011-03-01T14:01:24Z,day
1783876.5254457977,2409164.1505935914,2011-03-01T14:10:52Z,day
1783843.6114836547,2409140.8959723115,2011-03-01T14:21:51Z,day
1783828.552842811,2409096.771928046,2011-03-01T14:30:53Z,day
1783829.9760171997,2409083.4084884585,2011-03-01T14:41:16Z,day
1783848.0051814066,2409125.2282536933,2011-03-01T14:51:00Z,day
1783838.6779966913,2409117.1930116992,2011-03-01T15:01:02Z,day
1783833.1176904556,2409074.3574419143,2011-03-01T15:41:15Z,day
1783826.0457233565,2409131.1590568363,2011-03-01T15:51:33Z,day
1783839.7304503187,2409130.9369931296,2011-03-01T16:21:39Z,day
1783842.6072023283,2409134.55945274,2011-03-01T16:30:52Z,day
1783853.4308009325,2409143.650242038,2011-03-01T16:41:22Z,day
1783842.7707534311,2409108.149379731,2011-03-01T20:21:16Z,day
1783826.4434045732,2409087.5892344727,2011-03-01T20:41:06Z,day
1783845.0208949405,2409132.59394679,2011-03-01T20:50:57Z,day
1783802.4946265828,2409122.483040262,2011-03-01T22:01:34Z,day
1783858.889539316,2409144.210161738,2011-03-01T22:10:52Z,day
1784031.539497191,2409105.6147752847,2011-03-01T22:20:16Z,day
1784059.541760328,2409249.728933743,2011-03-01T22:30:17Z,day
1784457.2219855476,2409407.6699475325,2011-03-01T22:40:27Z,day
